id,user_stage,direction,goal,timeline,experience,available_days,difficulty,previous_goals_count,completed_goals_count,pathway_type,total_duration,num_phases,total_steps
RIPPLE_0260,Changing Careers,Switch Industry,Product Management Transition,6 Months,Intermediate (1-2 years relevant experience),Sat;Sun,Moderate,1,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0261,University Student,Higher Studies,Target GPA 3.8+,6 Months,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Easy,1,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0262,Changing Careers,Switch Industry,Data Science Career Pivot,1 Month,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri;Sat,Hard,3,2,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0263,Changing Careers,Learn New Skills,Modern Full-Stack Javascript/Python,1 Week,Intermediate (Built 1-2 small projects / self-taught),Sat;Sun,Hard,1,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0264,Building My Own Thing,Startup,Mobile App with 10k Downloads,1 Week,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri,Hard,1,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0265,Changing Careers,Learn New Skills,Cloud & DevOps (AWS/Docker),1 Month,"Advanced (3+ years experience, looking to level up)",Sat;Sun,Intensive,1,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0266,Changing Careers,Switch Industry,Product Management Transition,3 Months,Beginner (Basic theory / introductory coursework),Tue;Thu;Sat;Sun,Moderate,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0267,University Student,Freelance,Top Rated Freelancer on Upwork,1 Month,Intermediate (1-2 years relevant experience),Sat;Sun,Intensive,3,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0268,Changing Careers,Switch Industry,Software Engineering Bootcamp to Job,3 Months,Beginner (No prior background),Mon;Wed;Fri;Sat,Hard,2,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0269,Changing Careers,Switch Industry,Product Management Transition,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri,Easy,3,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0270,Building My Own Thing,Startup,Mobile App with 10k Downloads,1 Week,Intermediate (1-2 years relevant experience),Tue;Thu;Sat;Sun,Hard,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0271,Working,Grow in My Career,Promotion to Senior Engineer,1 Month,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri,Hard,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0272,Entrepreneur,Find Investors,Raise $250k Pre-Seed,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri;Sat;Sun,Hard,1,1,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0273,Changing Careers,Learn New Skills,Modern Full-Stack Javascript/Python,1 Week,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri,Intensive,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0274,Just Graduated,Find a Job,Data Analyst,1 Month,Intermediate (1-2 years relevant experience),Mon;Wed;Fri;Sat,Intensive,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0275,Working,Grow in My Career,Executive Presence & Tech Lead,1 Week,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Hard,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0276,High School,Start Working,Entry-level Internship,1 Week,Intermediate (1-2 years relevant experience),Mon;Tue;Wed;Thu;Fri,Hard,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0277,Working,Higher Salary,Target FAANG / Tier 1 Tech Offer,3 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Moderate,3,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0278,Building My Own Thing,Small Business,E-commerce Brand to $5k MRR,1 Week,Beginner (Basic theory / introductory coursework),Sat;Sun,Intensive,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0279,Working,Change Careers,Transition to Product Management,1 Month,Intermediate (Built 1-2 small projects / self-taught),Tue;Thu;Sat;Sun,Moderate,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0280,Building My Own Thing,Small Business,Local Service Agency Launch,1 Week,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri,Moderate,3,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0281,Building My Own Thing,Startup,B2B SaaS to First 10 Customers,1 Month,Intermediate (1-2 years relevant experience),Mon;Wed;Fri;Sat,Easy,1,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0282,University Student,Build a Startup,Launch MVP on Campus,6 Months,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri,Intensive,1,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0283,Building My Own Thing,Startup,B2B SaaS to First 10 Customers,3 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri;Sat,Hard,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0284,Changing Careers,Switch Industry,Data Science Career Pivot,1 Month,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Hard,1,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0285,Entrepreneur,Find Investors,Raise $250k Pre-Seed,1 Week,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Easy,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0286,Entrepreneur,Find Investors,Raise $250k Pre-Seed,3 Months,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Moderate,2,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0287,Changing Careers,Switch Industry,Data Science Career Pivot,6 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri;Sat,Easy,3,3,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0288,High School,Learn a Skill,Full-Stack Web Basics,6 Months,"Advanced (3+ years experience, looking to level up)",Tue;Thu;Sat;Sun,Intensive,1,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0289,University Student,Get a Job,Software Engineering,3 Months,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri,Easy,3,3,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0290,Building My Own Thing,Startup,Mobile App with 10k Downloads,1 Week,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Easy,1,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0291,Changing Careers,Switch Industry,Product Management Transition,6 Months,Beginner (Basic theory / introductory coursework),Mon;Wed;Fri;Sat,Easy,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0292,Working,Grow in My Career,Lead Cross-Functional Team,1 Week,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri,Moderate,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0293,Building My Own Thing,Startup,AI Micro-SaaS Launch,1 Week,Beginner (Basic theory / introductory coursework),Tue;Thu;Sat;Sun,Intensive,2,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0294,Building My Own Thing,Small Business,E-commerce Brand to $5k MRR,1 Week,Intermediate (Built 1-2 small projects / self-taught),Tue;Thu;Sat;Sun,Intensive,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0295,High School,Start Working,Resume & Interview Readiness,1 Week,Intermediate (1-2 years relevant experience),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,2,2,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0296,Just Graduated,Higher Studies,Graduate School Applications,1 Week,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri,Easy,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0297,Just Graduated,Find a Job,QA Automation Engineer,3 Months,Intermediate (1-2 years relevant experience),Mon;Wed;Fri;Sat,Moderate,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0298,Changing Careers,Learn New Skills,Machine Learning Fundamentals,3 Months,Beginner (Basic theory / introductory coursework),Mon;Wed;Fri,Intensive,2,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0299,Changing Careers,Switch Industry,Software Engineering Bootcamp to Job,1 Month,"Advanced (3+ years experience, looking to level up)",Sat;Sun,Easy,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0300,Working,Higher Salary,Target FAANG / Tier 1 Tech Offer,3 Months,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri,Intensive,2,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0301,Working,Higher Salary,Target FAANG / Tier 1 Tech Offer,1 Month,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri;Sat,Moderate,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0302,Working,Grow in My Career,Promotion to Senior Engineer,3 Months,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri,Hard,3,1,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0303,Working,Grow in My Career,Promotion to Senior Engineer,3 Months,Beginner (No prior background),Mon;Wed;Fri;Sat,Easy,3,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0304,Changing Careers,Switch Industry,Data Science Career Pivot,6 Months,Beginner (No prior background),Sat;Sun,Easy,1,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0305,Entrepreneur,Grow My Business,Hire First 3 Core Engineers,3 Months,Intermediate (Built 1-2 small projects / self-taught),Tue;Thu;Sat;Sun,Intensive,1,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0306,Just Graduated,Freelance,Full-time Freelance Agency,1 Month,Beginner (No prior background),Sat;Sun,Moderate,3,2,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0307,High School,Learn a Skill,Python for Data Analysis,1 Week,Beginner (No prior background),Mon;Wed;Fri,Moderate,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0308,Just Graduated,Higher Studies,Graduate School Applications,1 Week,Beginner (Basic theory / introductory coursework),Sat;Sun,Hard,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0309,Building My Own Thing,Small Business,Local Service Agency Launch,1 Month,Beginner (No prior background),Sat;Sun,Intensive,1,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0310,Entrepreneur,Find Investors,Raise $250k Pre-Seed,1 Week,Beginner (No prior background),Mon;Wed;Fri;Sat,Moderate,1,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0311,Changing Careers,Learn New Skills,Machine Learning Fundamentals,1 Week,Beginner (No prior background),Mon;Wed;Fri,Moderate,3,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0312,University Student,Freelance,Top Rated Freelancer on Upwork,1 Month,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri,Intensive,3,3,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0313,Just Graduated,Higher Studies,Scholarship Hunt,6 Months,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Easy,1,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0314,Changing Careers,Learn New Skills,Machine Learning Fundamentals,1 Week,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri;Sat,Intensive,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0315,Building My Own Thing,Startup,Mobile App with 10k Downloads,3 Months,Intermediate (1-2 years relevant experience),Tue;Thu;Sat;Sun,Intensive,2,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0316,University Student,Build a Startup,Apply to YC / Student Incubator,1 Month,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri,Hard,3,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0317,Just Graduated,Freelance,Full-time Freelance Agency,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri;Sat,Easy,3,1,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0318,High School,Start Working,Resume & Interview Readiness,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri,Easy,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0319,Changing Careers,Switch Industry,Product Management Transition,3 Months,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri,Intensive,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0320,University Student,Higher Studies,Master's in Computer Science,1 Week,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri,Intensive,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0321,Entrepreneur,Find Investors,Create Investor Pitch Deck & Data Room,1 Month,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri,Easy,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0322,Building My Own Thing,Startup,B2B SaaS to First 10 Customers,3 Months,Beginner (No prior background),Mon;Wed;Fri,Hard,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0323,High School,Learn a Skill,Full-Stack Web Basics,1 Month,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Intensive,2,2,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0324,Building My Own Thing,Startup,Mobile App with 10k Downloads,3 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri;Sat,Moderate,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0325,Building My Own Thing,Small Business,E-commerce Brand to $5k MRR,1 Month,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri;Sat;Sun,Hard,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0326,University Student,Freelance,Top Rated Freelancer on Upwork,3 Months,Beginner (No prior background),Tue;Thu;Sat;Sun,Moderate,2,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0327,University Student,Build a Startup,Launch MVP on Campus,1 Month,Beginner (No prior background),Tue;Thu;Sat;Sun,Hard,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0328,Building My Own Thing,Startup,B2B SaaS to First 10 Customers,6 Months,Intermediate (1-2 years relevant experience),Mon;Wed;Fri;Sat,Intensive,3,3,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0329,Just Graduated,Higher Studies,Graduate School Applications,1 Week,Intermediate (Built 1-2 small projects / self-taught),Tue;Thu;Sat;Sun,Easy,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0330,High School,University,SAT 1500+ / ACT 34+,1 Month,Beginner (No prior background),Tue;Thu;Sat;Sun,Easy,3,3,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0331,High School,University,Top Tier CS University Admissions,6 Months,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri,Hard,2,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0332,University Student,Freelance,Earn First $1k Freelancing,6 Months,Beginner (Basic theory / introductory coursework),Tue;Thu;Sat;Sun,Easy,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0333,Working,Grow in My Career,Lead Cross-Functional Team,6 Months,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri,Easy,1,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0334,Working,Grow in My Career,Lead Cross-Functional Team,6 Months,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Intensive,2,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0335,High School,Learn a Skill,Python for Data Analysis,1 Month,Intermediate (1-2 years relevant experience),Tue;Thu;Sat;Sun,Easy,3,2,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0336,Just Graduated,Freelance,Full-time Freelance Agency,1 Week,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,1,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0337,Entrepreneur,Grow My Business,Product Hunt Launch to #1 Product of Day,6 Months,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,1,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0338,Working,Grow in My Career,Executive Presence & Tech Lead,1 Month,Beginner (No prior background),Mon;Wed;Fri;Sat,Intensive,1,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0339,Just Graduated,Find a Job,QA Automation Engineer,1 Week,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Moderate,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0340,High School,Learn a Skill,Mobile App Development,1 Week,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,3,3,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0341,Working,Change Careers,Transition from Non-Tech to Tech,1 Week,Beginner (No prior background),Tue;Thu;Sat;Sun,Easy,2,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0342,Changing Careers,Learn New Skills,Machine Learning Fundamentals,1 Month,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri;Sat,Intensive,3,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0343,Building My Own Thing,Small Business,Local Service Agency Launch,3 Months,Beginner (No prior background),Tue;Thu;Sat;Sun,Hard,2,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0344,Just Graduated,Higher Studies,Statement of Purpose & Reference Letters,6 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri,Hard,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0345,Working,Change Careers,Transition from QA to Dev,6 Months,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri,Hard,1,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0346,Just Graduated,Freelance,Full-time Freelance Agency,1 Month,Beginner (Basic theory / introductory coursework),Mon;Tue;Wed;Thu;Fri,Moderate,1,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0347,High School,Start Working,Entry-level Internship,3 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,3,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0348,Just Graduated,Higher Studies,Statement of Purpose & Reference Letters,3 Months,Intermediate (Built 1-2 small projects / self-taught),Tue;Thu;Sat;Sun,Moderate,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0349,High School,University,SAT 1500+ / ACT 34+,1 Week,Beginner (Basic theory / introductory coursework),Mon;Wed;Fri;Sat,Moderate,1,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0350,Changing Careers,Switch Industry,Data Science Career Pivot,1 Week,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Moderate,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0351,Entrepreneur,Find Investors,Raise $250k Pre-Seed,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri,Hard,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0352,Entrepreneur,Grow My Business,Hire First 3 Core Engineers,3 Months,Beginner (Basic theory / introductory coursework),Tue;Thu;Sat;Sun,Intensive,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0353,Changing Careers,Learn New Skills,Modern Full-Stack Javascript/Python,3 Months,Intermediate (Built 1-2 small projects / self-taught),Sat;Sun,Easy,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0354,High School,Learn a Skill,Mobile App Development,3 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri,Hard,2,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0355,Entrepreneur,Grow My Business,Product Hunt Launch to #1 Product of Day,3 Months,Beginner (Basic theory / introductory coursework),Mon;Wed;Fri,Easy,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0356,Working,Better Work-Life Balance,Daily Routine Reset,1 Month,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri,Moderate,3,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0357,Changing Careers,Switch Industry,Product Management Transition,1 Week,Intermediate (1-2 years relevant experience),Mon;Wed;Fri,Moderate,2,2,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0358,Just Graduated,Higher Studies,Graduate School Applications,3 Months,Intermediate (1-2 years relevant experience),Tue;Thu;Sat;Sun,Hard,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0359,Working,Grow in My Career,Lead Cross-Functional Team,1 Week,"Advanced (3+ years experience, looking to level up)",Sat;Sun,Easy,1,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0360,Entrepreneur,Grow My Business,Product Hunt Launch to #1 Product of Day,3 Months,Intermediate (1-2 years relevant experience),Mon;Wed;Fri;Sat,Easy,1,1,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0361,Changing Careers,Learn New Skills,Machine Learning Fundamentals,3 Months,Beginner (Basic theory / introductory coursework),Sat;Sun,Easy,2,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0362,Working,Higher Salary,Market Benchmark & Negotiation,1 Month,"Advanced (3+ years experience, looking to level up)",Sat;Sun,Moderate,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0363,Just Graduated,Freelance,Content Creation & Personal Brand,6 Months,Intermediate (1-2 years relevant experience),Sat;Sun,Intensive,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0364,Building My Own Thing,Small Business,E-commerce Brand to $5k MRR,3 Months,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri,Moderate,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0365,Building My Own Thing,Startup,B2B SaaS to First 10 Customers,3 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri,Moderate,3,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0366,Entrepreneur,Find Investors,Create Investor Pitch Deck & Data Room,3 Months,Intermediate (1-2 years relevant experience),Sat;Sun,Hard,1,1,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0367,Entrepreneur,Find Investors,Raise $250k Pre-Seed,6 Months,Beginner (No prior background),Mon;Wed;Fri;Sat,Moderate,1,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0368,Changing Careers,Switch Industry,Software Engineering Bootcamp to Job,3 Months,Beginner (No prior background),Mon;Wed;Fri,Intensive,2,2,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0369,Building My Own Thing,Startup,B2B SaaS to First 10 Customers,1 Week,Intermediate (1-2 years relevant experience),Sat;Sun,Intensive,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0370,Changing Careers,Learn New Skills,Cloud & DevOps (AWS/Docker),1 Month,Beginner (Basic theory / introductory coursework),Tue;Thu;Sat;Sun,Easy,3,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0371,Entrepreneur,Find Investors,Raise $250k Pre-Seed,3 Months,Beginner (No prior background),Sat;Sun,Easy,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0372,Just Graduated,Higher Studies,Statement of Purpose & Reference Letters,1 Month,Intermediate (Built 1-2 small projects / self-taught),Tue;Thu;Sat;Sun,Intensive,1,1,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0373,Building My Own Thing,Small Business,Local Service Agency Launch,1 Month,Beginner (No prior background),Mon;Wed;Fri,Easy,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0374,University Student,Freelance,Top Rated Freelancer on Upwork,1 Week,"Advanced (3+ years experience, looking to level up)",Mon;Wed;Fri,Easy,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0375,High School,Start Working,Entry-level Internship,6 Months,Intermediate (Built 1-2 small projects / self-taught),Sat;Sun,Hard,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0376,University Student,Higher Studies,IELTS & GRE Prep,3 Months,Intermediate (Built 1-2 small projects / self-taught),Sat;Sun,Hard,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0377,University Student,Get a Job,Software Engineering,1 Month,Beginner (Basic theory / introductory coursework),Tue;Thu;Sat;Sun,Hard,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0378,High School,Learn a Skill,Full-Stack Web Basics,1 Week,Intermediate (1-2 years relevant experience),Sat;Sun,Intensive,2,1,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0379,University Student,Higher Studies,IELTS & GRE Prep,1 Month,Beginner (No prior background),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Intensive,0,0,30-Day Milestone Accelerator,4 Weeks,4,12
RIPPLE_0380,Changing Careers,Learn New Skills,Cloud & DevOps (AWS/Docker),1 Week,Beginner (Basic theory / introductory coursework),Sat;Sun,Intensive,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0381,Working,Better Work-Life Balance,Daily Routine Reset,1 Week,Intermediate (Built 1-2 small projects / self-taught),Mon;Tue;Wed;Thu;Fri,Hard,1,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0382,Working,Change Careers,Transition from QA to Dev,3 Months,Intermediate (1-2 years relevant experience),Mon;Tue;Wed;Thu;Fri;Sat;Sun,Moderate,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0383,University Student,Higher Studies,Target GPA 3.8+,6 Months,Beginner (Basic theory / introductory coursework),Sat;Sun,Easy,2,1,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0384,Changing Careers,Switch Industry,Data Science Career Pivot,6 Months,Intermediate (1-2 years relevant experience),Mon;Tue;Wed;Thu;Fri,Moderate,0,0,Comprehensive Mastery & Career Pivot,24 Weeks,4,12
RIPPLE_0385,Entrepreneur,Grow My Business,Hire First 3 Core Engineers,3 Months,Beginner (No prior background),Mon;Wed;Fri,Intensive,0,0,Quarterly Transformation Roadmap,12 Weeks,4,12
RIPPLE_0386,University Student,Freelance,Build Client Portfolio,1 Week,"Advanced (3+ years experience, looking to level up)",Mon;Tue;Wed;Thu;Fri,Easy,0,0,Rapid Sprint & Habit Kickoff,7 Days,3,9
RIPPLE_0387,Just Graduated,Freelance,Content Creation & Personal Brand,3 Months,Intermediate (Built 1-2 small projects / self-taught),Mon;Wed;Fri;Sat,Easy,3,2,Quarterly Transformation Roadmap,12 Weeks,4,12
